time;angle;distance;velocity;acceleration
0.05;80.0;95.80688345071721;0.0;0.0;
0.1;79.99982000000794;95.80688345071721;-0.003599999841128465;-0.0719999968225693;
0.15;79.99856000006352;95.80658899381548;-0.02519999888846769;-0.4319999809467845;
0.2;79.99513999940666;95.80452778937553;-0.06840001313719313;-0.8640002849745088;
0.25;79.98848000050812;95.79893303623328;-0.1331999779708326;-1.2959992966727896;
0.3;79.97749999950729;95.78803776782837;-0.21960002001662815;-1.7280008409159109;
0.35000002;79.96111999525324;95.77007463971238;-0.32760008508091687;-2.1600013012857744;
0.40000004;79.93825997909123;95.74327566898306;-0.45720032324027216;-2.5920047631871057;
0.45000005;79.90783999072475;95.70587186405533;-0.6083997673295016;-3.0239888817845895;
0.50000006;79.86877993979023;95.65609288495254;-0.7812010186904672;-3.4560250272193116;
0.5500001;79.81999994269741;95.59216624343773;-0.9755999418564443;-3.8879784633195413;
0.6000001;79.76041988240227;95.51231727075869;-1.191601205902657;-4.320025280924256;
0.6500001;79.68895982862381;95.41476773955593;-1.429201075569324;-4.75199739333334;
0.7000001;79.6045397576995;95.29773582201479;-1.688401418486194;-5.184006858337398;
0.7500001;79.50607983272985;95.15943483197461;-1.9691984993929168;-5.615941618134457;
0.80000013;79.39249976324805;94.99807281801111;-2.2716013896359755;-6.048057804861173;
0.85000014;79.26271960563291;94.81185058521368;-2.5956031523028855;-6.480035253338201;
0.90000015;79.11565949630446;94.59896201936175;-2.941202186569001;-6.911980685322305;
0.95000017;78.95023941160018;94.35759260946713;-3.308401694085603;-7.343990150332047;
1.0000001;78.76537959466184;94.08591796551343;-3.697196338766844;-7.775892893624814;
1.0500001;78.55999954157926;93.78210339066874;-4.107601061651565;-8.208094457694415;
1.1;78.33301976229846;93.44430105337071;-4.539595585615928;-8.63989047928726;
1.15;78.08336012643521;93.0706516972008;-4.99319271726506;-9.071942632982655;
1.1999999;77.8099403968836;92.65928072317753;-5.468394591032109;-9.504037475340965;
1.2499999;77.51168054998114;92.20829786568648;-5.96519693804936;-9.936046940345022;
1.2999998;77.18750077550871;91.71579653221963;-6.483595489448533;-10.367971027983458;
1.3499998;76.83632126324721;91.17985264387814;-7.0235902452299115;-10.799895115627578;
1.3999997;76.45706198953414;90.59852316639953;-7.585185474261493;-11.231904580631635;
1.4499997;76.04864250382018;89.96984470136688;-8.168389714279272;-11.664084800355567;
1.4999996;75.60998299588623;89.29183215850661;-8.773190158678972;-12.096008887994003;
1.5499996;75.14000365551317;88.56247966386596;-9.399586807461162;-12.527932975643807;
1.5999995;74.63762445903852;87.77975877540534;-10.047583929492987;-12.959942440636496;
1.6499995;74.10176495591293;86.94161756959302;-10.717190062511861;-13.392122660377481;
1.6999995;73.53134640313436;86.04597992831441;-11.408371055571251;-13.823619861187808;
1.7499994;72.92528706949302;85.09074900269056;-12.12118667282681;-14.256312345111155;
1.7999994;72.28250863887371;84.07379954152051;-12.855568612386321;-14.687638791190238;
1.8499993;71.60192980695342;82.99298915567311;-13.611576638405722;-15.120160520388026;
1.8999993;70.88247012318284;81.84614853101023;-14.389193675411605;-15.552340740117643;
1.9499992;70.12305297899402;80.6310893185258;-15.188342883776329;-15.98298416729449;
1.9999992;69.32259237430897;79.34561125210985;-16.009212093701137;-16.417384198496165;
2.0499992;68.48001511565433;77.98748248803447;-16.85154517309286;-16.846661587834433;
2.0999992;67.5942343491784;76.55448080050213;-17.71561532951864;-17.28140312851565;
2.1499991;66.66417602763423;75.04435327231224;-18.601166430883325;-17.711022027293666;
2.199999;65.6887567122647;73.45486714645068;-19.508386307390424;-18.144397530141987;
2.249999;64.66689979450192;71.78377938714044;-20.437138355255797;-18.575040957307465;
2.299999;63.59752098181511;70.02887363892181;-21.387576253736142;-19.008757969606904;
2.349999;62.47954366563638;68.18794699436069;-22.35954632357462;-19.43940139676954;
2.399999;61.311885260982265;66.25885106144834;-23.353168093082246;-19.872435390152532;
2.4499989;60.093468305511195;64.23948706809041;-24.368339109421413;-20.30342032678334;
2.4999988;58.82321021423974;62.12784877472509;-25.40516182542916;-20.736454320154962;
2.5499988;57.50003352482631;59.92203545306504;-26.46353378826859;-21.16743925678861;
2.5999987;56.176853420318295;57.620309794190156;-26.463602090160236;-0.0013660378328950173;
2.6499987;54.90659362149954;55.315258652155244;-25.405195976375126;21.168122275702217;
2.6999986;53.68817325093389;53.10008716423927;-24.368407411312916;20.7357713012442;
2.7499986;52.52051143118519;50.974002280613945;-23.353236394974033;20.303420326777655;
2.7999985;51.40253069991187;48.936083529830206;-22.359614625466406;19.872435390152532;
2.8499985;50.33315188722507;46.98529748788437;-21.387576253736;19.44076743460812;
2.8999984;49.31129070059405;45.12049637044882;-20.437223732620424;19.007050422311522;
2.9499984;48.33586797012994;43.34041872088973;-19.50845460928221;18.575382466764268;
2.9999983;47.405811356133064;41.643713080442645;-18.601132279937502;18.14644658689417;
3.0499983;46.5200280283362;40.02894593184061;-17.715666555937304;17.709314480003968;
3.0999982;45.67744906213426;38.49455867279968;-16.851579324038823;17.28174463796961;
3.1499982;44.8769884574492;37.03894851591849;-16.009212093701137;16.847344606753722;
3.1999981;44.11756362929758;35.66040089238919;-15.188496563032459;16.414310613373573;
3.249998;43.39810565307428;34.35712822214474;-14.389159524465924;15.986740771330687;
3.299998;42.717525113606705;33.12729042313446;-13.611610789351545;15.55097470228759;
3.349998;42.07474625610056;31.968939606832386;-12.855577150122883;15.12067278457323;
3.399998;41.4686864955724;30.880082023244423;-12.12119521056323;14.68763879119308;
3.449998;40.898263247038784;29.85864695277273;-11.408464970672298;14.254604797818615;
3.4999979;40.36240075570544;28.90250289060166;-10.717249826666944;13.824302880107098;
3.5499978;39.86001985168349;28.00947409387669;-10.047618080438951;13.392634924559843;
3.5999978;39.39004136508408;27.177329317921057;-9.39956973198818;12.96096696901543;
3.6499977;38.951379295829184;26.403794434903038;-8.773241385097919;12.526566937805228;
3.6999977;38.542957889124516;25.68654899984679;-8.168428134093375;12.096265020090868;
3.7499976;38.16369797508122;25.023262739173468;-7.58519828086591;11.664597064549298;
3.7999976;37.81251355362126;24.411582146488026;-7.02368842919924;11.230197033333411;
3.8499975;37.48833570013953;23.84913479155863;-6.483557069634571;10.802627191293368;
3.8999975;37.19007499946341;23.333577370174527;-5.965214013522342;10.366861122244586;
3.9499974;36.916652281704046;22.862545359553962;-5.468454355187333;9.935193166700174;
3.9999974;36.66699179206715;22.433711547571423;-4.9932097927379;9.504891248988656;
4.0499973;36.44001094556929;22.044783584963795;-4.539616929957191;9.07185725561419;
4.0999975;36.23463057232159;21.69349580572777;-4.107607464953986;8.640189300064094;
4.1499977;36.04976808734061;21.377631914949205;-3.697249699619647;8.207155306686786;
4.199998;35.88434432073749;21.095019711602117;-3.308475332062386;7.775487351145216;
4.249998;35.73728693281253;20.84354543083859;-2.9411477584991985;7.346551471263751;
4.2999983;35.607506508393115;20.621161081040864;-2.595608488388308;6.910785402217812;
4.3499985;35.49392387759039;20.425849158595998;-2.271652616054496;6.479117446676241;
4.3999987;35.39546328561007;20.255663511051736;-1.9692118396064018;6.048815528961882;
4.449999;35.31104214746871;20.108716958541102;-1.688422762827173;5.615781535584574;
4.499999;35.23958129327745;19.983163044814965;-1.429217083825165;5.184113580040162;
4.549999;35.180001553147434;19.877207518650245;-1.1915948026003775;4.752445624495749;
4.5999994;35.131220342095205;19.789098673863883;-0.9756242210445976;4.3194116311155994;
4.6499996;35.092158490231895;19.717117330187367;-0.7812370372661803;3.8877436755683448;
4.7;35.06174024276325;19.65958170838046;-0.6083649493729126;3.457441757865354;
4.75;35.038879599611214;19.614842134563897;-0.4572128630407235;3.0230417266437826;
4.8;35.02250422107611;19.58125586600252;-0.3275075707020392;2.5941058467736866;
4.8500004;35.011521276890726;19.55721745801966;-0.2196588837077229;2.1569737398863253;
4.9000006;35.00485842735538;19.541104262150352;-0.13325699070691144;1.7280378600162294;
4.950001;35.00144333277037;19.53133278474937;-0.0683018917001732;1.2991019801347647;
5.000001;35.00017974777392;19.526325412584487;-0.02527169992902145;0.860603835423035;
5.050001;34.99999874776092;19.524472869435087;-0.003620000260013967;0.4330339933801497;
5.1000013;34.99999874776092;19.524207513311435;0.0;0.07240000520027934;
5.1500015;34.99999874776092;19.524207513311435;0.0;0.0;
5.2000017;34.99999874776092;19.524207513311435;0.0;0.0;
5.250002;34.99999874776092;19.524207513311435;0.0;0.0;
5.300002;34.99999874776092;19.524207513311435;0.0;0.0;
5.3500023;34.99999874776092;19.524207513311435;0.0;0.0;
5.4000025;34.99999874776092;19.524207513311435;0.0;0.0;
5.4500027;34.99999874776092;19.524207513311435;0.0;0.0;
5.500003;34.99999874776092;19.524207513311435;0.0;0.0;
